week,manager,team_name,points,points_against,projected_points
1,Adam,Zeke Virus,114.3,153.78,142.71
1,roy s,Obi 'Quon Kenobi,153.78,114.3,147.04
1,Christopher,3HeadedATK,122.76,180.92,131.16
1,Khari,Khari's Blasingame,180.92,122.76,146.9
1,Travis,Big Bucs No Whammies,137.3,159.28,124.14
1,Jean,DJeango,159.28,137.3,159.81
1,Jake,Birds Like I'm Julio,115.34,119.8,154.36
1,Andy,Eli Man Penguin Boy,119.8,115.34,150.53
1,JL,FreshPrinceOfHelaire,120.1,178.58,148.76
1,sox fan,Quaranteam,178.58,120.1,151.4
2,Adam,Zeke Virus,153.22,130.86,147.77
2,Jean,DJeango,130.86,153.22,149.67
2,Christopher,3HeadedATK,133.78,132.52,133.73
2,roy s,Obi 'Quon Kenobi,132.52,133.78,149.51
2,Travis,Big Bucs No Whammies,139.04,132.76,145.02
2,JL,FreshPrinceOfHelaire,132.76,139.04,152.01
2,Jake,Birds Like I'm Julio,139.18,137.5,146.82
2,Khari,Khari's Blasingame,137.5,139.18,143.08
2,Andy,Eli Man Penguin Boy,160.4,190.9,144.43
2,sox fan,Quaranteam,190.9,160.4,158.63
3,Adam,Zeke Virus,114.32,135.8,141.8
3,Travis,Big Bucs No Whammies,135.8,114.32,143.88
3,Christopher,3HeadedATK,166.38,164.54,142.48
3,sox fan,Quaranteam,164.54,166.38,156.36
3,Jake,Birds Like I'm Julio,149.4,117.2,135.56
3,Jean,DJeango,117.2,149.4,134.27
3,Andy,Eli Man Penguin Boy,140.22,123.88,141.26
3,Khari,Khari's Blasingame,123.88,140.22,148.84
3,roy s,Obi 'Quon Kenobi,172.0,158.78,156.78
3,JL,FreshPrinceOfHelaire,158.78,172.0,158.51
