week,manager,team_name,points,points_against,projected_points
5,Adam,Zeke Virus,140.36,91.62,142.64
5,Christopher,3HeadedATK,91.62,140.36,116.36
5,Travis,Big Bucs No Whammies,147.90,142.32,124.98
5,sox fan,Quaranteam,142.32,147.90,157.08
5,Jake,Birds Like I'm Julio,119.80,106.30,147.14
5,JL,FreshPrinceOfHelaire,106.30,119.80,153.94
5,Jean,DJeango,156.02,151.44,140.94
5,Khari,Khari's Blasingame,151.44,156.02,151.18
5,Andy,Eli Man Penguin Boy,153.40,169.18,142.68
5,roy s,Obi 'Quon Kenobi,169.18,153.40,146.29
